Video ID,Video Title,Author,Comment,Timestamp,Timestamp Link,Date Added
JP3DM0yWHS0,Loneliness and Confidence | The Sangha US #109 | 03.29.24,@issac7787,21:10,21:10,https://youtu.be/JP3DM0yWHS0?t=1270,2026-05-26
s0NORgvDnoc,The Outcome of Correct Practice | The Sangha UK #203 | 03.24.24,@MountainDharma,"58:50 onwards ❤ the point I used to miss is that we put life in the wrong order. We strive and do all kinds of work in order to be happy. Instead, start happy, then do whatever we have to do or want to do, happily. Happy in the beginning, middle, and end rather than happiness being an ever retreating horizon that we struggle to never reach. 😊",58:50,https://youtu.be/s0NORgvDnoc?t=3530,2026-05-26
ffyqt7z6dq4,"Don't Get it Right, Just Get it Happily | On the Porch with David B #2 | 03.30.24",@issac7787,1:13:00,1:13:00,https://youtu.be/ffyqt7z6dq4?t=4380,2026-05-26
ffyqt7z6dq4,"Don't Get it Right, Just Get it Happily | On the Porch with David B #2 | 03.30.24",@MountainDharma,1:35:00 the shift begins right here. Dhammarato entertained all the speculative views until right here with boundless patience,1:35:00,https://youtu.be/ffyqt7z6dq4?t=5700,2026-05-26
ffyqt7z6dq4,"Don't Get it Right, Just Get it Happily | On the Porch with David B #2 | 03.30.24",@whitenozze,1:44:00 best part,1:44:00,https://youtu.be/ffyqt7z6dq4?t=6240,2026-05-26
ffyqt7z6dq4,"Don't Get it Right, Just Get it Happily | On the Porch with David B #2 | 03.30.24",@MountainDharma,"More gold at 1:11:40. What’s educational for all of us is when we Watch ourselves come up with all our reasons so many things are wrong, or need to be done, or needs to be fixed, or needs to be gained, and we believe our never ending list while we see another’s list as their own set of reasons to remain dissatisfied. At that point, we realize that we are all the same, we are all just listing reasons to remain dissatisfied when Dhammarato is sitting there telling us there is not one single legitimate reason to be dissatisfied. And the endless pivoting: “ok, you’re right, that list I just gave is ok, but how about this other list, and this other list?” It’s never ending. Just throw it all out and be satisfied. Nothing is wrong. Nothing is missing.",1:11:40,https://youtu.be/ffyqt7z6dq4?t=4300,2026-05-26
ffyqt7z6dq4,"Don't Get it Right, Just Get it Happily | On the Porch with David B #2 | 03.30.24",@MountainDharma,"Just after 20:30 Dhammarato delivers his core teaching and after a year of talking to him and watching these videos, I’m even more amazed at how subtle and profound it is that he can listen to all of us go back to our delusions over and over and over when we called him for directions out of it. It’s just amazing insight, compassion, patience, and conviction that Dhammarato has to listen to everyone’s well articulated BS and still have the ability to calmly direct us back to the only point: no matter what you are looking for, the only reason you are looking is because you are dissatisfied and seeking a cure to that dissatisfaction. Simply stop looking and be satisfied. Nothing is missing! 😂",20:30,https://youtu.be/ffyqt7z6dq4?t=1230,2026-05-26
9yT4o5gsmHU,Starting at the Beginning | Michael M #6 | 03.20.24,@issac7787,8:50,8:50,https://youtu.be/9yT4o5gsmHU?t=530,2026-05-26
7CeVVQ_doHc,How to Breath Well | Ivan #7 | 03.12.24,@issac7787,10:40,10:40,https://youtu.be/7CeVVQ_doHc?t=640,2026-05-26
oG3TM6I_qdA,Remember to Be Here Now | Ivan #6 | 03.04.24,@issac7787,12:50,12:50,https://youtu.be/oG3TM6I_qdA?t=770,2026-05-26
mzFCMkSEe5w,Guide to Being Safe | Ivan #2 | 01.24.24,@issac7787,6:30,6:30,https://youtu.be/mzFCMkSEe5w?t=390,2026-05-26
mzFCMkSEe5w,Guide to Being Safe | Ivan #2 | 01.24.24,@issac7787,34:30,34:30,https://youtu.be/mzFCMkSEe5w?t=2070,2026-05-26
mzFCMkSEe5w,Guide to Being Safe | Ivan #2 | 01.24.24,@issac7787,17:00,17:00,https://youtu.be/mzFCMkSEe5w?t=1020,2026-05-26
mzFCMkSEe5w,Guide to Being Safe | Ivan #2 | 01.24.24,@issac7787,20:00,20:00,https://youtu.be/mzFCMkSEe5w?t=1200,2026-05-26
mzFCMkSEe5w,Guide to Being Safe | Ivan #2 | 01.24.24,@issac7787,34:00,34:00,https://youtu.be/mzFCMkSEe5w?t=2040,2026-05-26
WKZKz91bLNM,Alax P 1 12 24,@whitenozze,"28:00 I see this as the the tears r the dark night of the soul. After the dark night is the healing, but the dark night is skippable",28:00,https://youtu.be/WKZKz91bLNM?t=1680,2026-05-26
qe3pKtd_f34,Freddie #6 | 01.10.24,@whitenozze,38:00 gold,38:00,https://youtu.be/qe3pKtd_f34?t=2280,2026-05-26
x2s77zprpUE,First Call | Ivan #1 | 01.10.24,@issac7787,12:00,12:00,https://youtu.be/x2s77zprpUE?t=720,2026-05-26
x2s77zprpUE,First Call | Ivan #1 | 01.10.24,@issac7787,13:45,13:45,https://youtu.be/x2s77zprpUE?t=825,2026-05-26
